E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\0.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\0.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\1.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\1.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\2.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\2.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\3.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\3.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\4.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\4.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\5.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\5.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\6.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\6.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\7.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\7.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\8.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\8.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\9.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\9.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\10.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\10.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\11.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\11.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\12.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\12.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\13.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\13.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\14.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\14.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\15.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\15.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\16.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\16.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\17.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\17.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\18.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\18.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\19.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\19.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\20.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\20.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\21.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\21.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\22.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\22.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\23.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\23.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\24.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\24.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\25.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\25.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\26.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\26.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\27.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\27.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\28.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\28.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\29.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\29.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\30.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\30.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\31.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\31.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\32.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\32.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\33.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\33.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\34.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\34.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\35.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\35.npy
E:\Projects\vocal-separator\2k22\dataset_main_train\tracks\36.wav,E:\Projects\vocal-separator\2k22\dataset_main_train\masks\36.npy
